Depth,17,19,25,33,41,49,55,63,71,79,87,95,102,106,110,114,118,122,126,133,139,159,169,177,185,188,192,196,199,206,229,255
"Age after Kobe et al., 2021 in years B.P.",651,733,980,1309,1637,1966,2213,2541,2827,3199,3527,3856,4144,4374,4751,5115,5466,5805,6134,6685,7135,8505,9127,9599,10049,10213,10428,10639,10794,11146,12226,13324
Pisidium nitidum,1,0,0,2,0,0,14,9,10,10,7,25,12,13,9,8,7,5,10,3,0,1,0,0,0,0,0,2,0,1,0,1
Pisidium sp.,0,0,0,1,1,0,4,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerium corneum,2,2,6,2,3,6,22,25,7,0,12,20,0,6,6,7,8,14,4,2,2,1,1,0,0,0,1,0,0,5,0,0
unidentified Bivalvia,1,1,0,0,2,1,7,6,2,2,5,5,0,4,3,3,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Gyraulus albus,6,3,2,3,13,5,14,8,9,3,5,8,2,2,8,3,6,2,3,7,3,0,4,2,0,3,2,0,0,3,4,2
Gyraulus cf. rossmaessleri,0,0,0,1,1,0,2,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
Gyraulus cf. laevis,0,0,0,1,1,1,8,6,2,3,2,3,0,0,3,2,6,4,2,1,2,0,2,0,5,2,1,1,2,0,0,0
Gyraulus sp,2,0,1,5,4,1,4,8,5,6,0,3,2,0,4,5,4,3,0,6,2,2,1,0,0,0,1,1,0,2,5,0
Planorbarius corneus,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1
Valvata cristata,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bathyomphalus contortus,0,0,0,0,1,3,7,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymnaea (Peregriana) peregra,1,0,0,0,0,1,3,2,1,1,0,1,1,0,1,2,7,4,3,0,2,0,7,0,0,0,0,1,0,0,0,0
Segmentina nitida,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
unidentified gastropoda,1,0,0,7,4,4,7,6,5,6,2,2,4,3,4,5,6,4,0,5,5,3,3,1,0,2,3,3,3,3,3,2
Sum Bivalvia,4,3,6,5,6,7,47,42,19,12,28,52,12,23,18,18,19,22,17,5,2,2,2,0,0,0,1,2,0,6,0,1
Sum Gastropoda,10,3,3,18,24,15,50,33,28,22,9,17,9,5,22,18,33,19,13,19,14,5,17,3,5,7,7,9,7,12,17,5
Total,14,6,9,23,30,22,97,75,47,34,37,69,21,28,40,36,52,41,30,24,16,7,19,3,5,7,8,11,7,18,17,6
